Process Start Time: 2021/11/8 0:10:43
Wafer ID: LA-5
Lot ID:  N1R21A260016;N1R21A210052
Slot ID: 5
PM SN: PM1
Recipe Name: D1EJD011A02
Wafer Counter: 10050
SRF Hour: 2638:43:44
BRF Hour: 2499:41:32
TotalTime,Step_Name,Step_ID,StepTime,ProcessPressure,HePressure,HeFlow,VATPosition,ChamberPressure,ForlinePressure,SRFForwardpower,SRFRefl,BRFForwardpower,BRFRefl,DCBias,TopC1,TopC2,BottomC1,BottomC2,Ar,O2,N2,Cl2,BCl3,CF4,HBr,Spare8,ChillerTemp,MiddleTemp1,MiddleTemp2,MiddleTemp3,MiddleTemp4,TopTemp,BottomTemp,InnerPipeTemp,
2.499,0,0,0,0.0244140625,0,0.439453125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.9831809997559,59.9749603271484,60.1338844299316,100.037178039551,
2.703,0,0,0,0.0244140625,0,0.439453125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.1338844299316,100.037178039551,
2.907,0,0,0,0.048828125,0,0.341796875,1000,0.02197265625,0.002685546875,0.716552734375,0,1.435546875,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.1338844299316,100.037178039551,
3.111,0,0,0,0.048828125,0,0.2685546875,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.1338844299316,99.9797897338867,
3.315,0,0,0,0.048828125,0,0.2197265625,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.1338844299316,99.9797897338867,
3.52,0,0,0,0.048828125,0,0.1953125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.1338844299316,99.9797897338867,
3.724,0,0,0,0.048828125,0,0.146484375,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.0769386291504,99.9797897338867,
3.928,0,0,0,0.048828125,1.69677734375,17.2637939453125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9936103820801,59.9690208435059,60.0206489562988,59.983528137207,60.0301513671875,60.0769386291504,99.9797897338867,
4.132,0,0,0,0.048828125,1.69677734375,17.2637939453125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9936103820801,60.0824127197266,59.9637794494629,59.983528137207,60.0301513671875,60.0769386291504,99.9797897338867,
4.336,0,0,0,0.048828125,1.46484375,6.8115234375,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9936103820801,60.0824127197266,59.9637794494629,60.0424652099609,59.97314453125,60.0769386291504,99.9797897338867,
